Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3VxsC4ywIWIhk9DyTwv3rF,"Navidá","Navidá","Bebo Dumont;ELENA ROSE",2022-12-16,183599,42,false,ben.doan4366,2025-10-16T17:40:04Z,"reggae en español,latin afrobeats","La Soul Caribe Music",0.647,0.502,1,-9.673,0,0.363,0.899,0.00912,0.116,0.71,169.96,4
spotify:track:6PvdkzCNV3NSdMMeAYsyaO,"El Mood","El Mood","Neomai;Ronny Leon",2023-05-19,144201,42,false,ben.doan4366,2025-10-16T17:54:58Z,"","Vault Music Group",0.866,0.791,5,-4.562,0,0.25,0.138,0,0.0701,0.939,125.087,4
spotify:track:2KrQbq3aqGOFGnkTKnN2XA,"LATINA FOREVA","Tropicoqueta","KAROL G",2025-06-20,159522,80,true,ben.doan4366,2025-10-22T10:59:32Z,"reggaeton,latin,urbano latino","Bichota/Interscope Records",0.814,0.739,1,-2.899,0,0.0495,0.0123,0,0.0678,0.573,97.933,4
spotify:track:2HJQm4T3Pk2zvxoFhlnGjR,"MONTAGEM TOMADA - Slowed","MONTAGEM TOMADA","MXZI",2025-03-21,84901,60,false,ben.doan4366,2025-10-23T21:13:13Z,"phonk,brazilian phonk,funk","Enarma Records",0.653,0.903,10,-3.15,0,0.0896,0.00727,0.491,0.163,0.272,109.28,4
spotify:track:43SMQMC2X2fAOuTPRnSGrG,"Tu No Metes Cabra","Tu No Metes Cabra","Bad Bunny",2017-07-06,170762,71,true,ben.doan4366,2025-10-26T18:29:35Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.86,0.641,7,-2.149,1,0.219,0.689,0.00331,0.107,0.432,92.013,4
spotify:track:0l0vcZMU7AOeQmUIREoI2U,"Qué Pasaría...","Cosa Nuestra","Rauw Alejandro;Bad Bunny",2024-11-15,191018,91,true,ben.doan4366,2025-10-26T18:47:15Z,"reggaeton,trap latino,urbano latino,latin","Sony Music Latin/Duars Entertainment",0.833,0.563,4,-5.593,0,0.204,0.528,0.0000127,0.139,0.343,105.008,4
spotify:track:1icArN1DYAfijXGShx9llW,"MIAMI","Track 4 + Track 14","Tokischa",2025-06-12,134439,64,true,ben.doan4366,2025-10-26T23:57:16Z,"dembow,neoperreo","WEA Latina",0.848,0.823,6,-3.78,0,0.0848,0.00464,0.132,0.6,0.553,113.874,4
spotify:track:15U5RHzuLMPNFThQqfKL0U,"COLMILLO","DATA","Tainy;J Balvin;Young Miko;Jowell & Randy",2023-06-29,265999,73,true,ben.doan4366,2025-10-28T10:13:58Z,"reggaeton,latin,trap latino,urbano latino","NEON16, LLC",0.564,0.874,1,-1.353,0,0.105,0.119,0.000039,0.24,0.809,121.001,4
spotify:track:5yAIrkplUEpMNeojW8Q30o,"OJOS FERRARI","MAÑANA SERÁ BONITO","KAROL G;Justin Quiles;Angel Dior",2023-02-24,180040,65,true,ben.doan4366,2025-11-08T17:42:38Z,"reggaeton,latin,urbano latino,dembow","BICHOTA RECORDS / INTERSCOPE RECORDS / UNIVERSAL MUSIC LATINO",0.9,0.709,1,-2.791,1,0.0968,0.144,0.0000335,0.173,0.667,124.046,4
spotify:track:20LZsv2s3dXvoBuPUEOlAv,"Muñekita (with El Alfa & JT)","ORQUÍDEAS","Kali Uchis;El Alfa;JT",2024-01-12,219642,65,true,ben.doan4366,2025-12-06T22:20:42Z,"dembow,urbano latino,latin","Geffen Records",0.787,0.822,0,-3.419,1,0.175,0.0655,0.00106,0.289,0.532,111.964,4
spotify:track:6W2yL4Zfe2WoaSLj7xPJiM,"GuabanSexxx","Cosa Nuestra: Capítulo 0","Rauw Alejandro",2025-09-26,161055,67,false,ben.doan4366,2026-02-14T01:36:03Z,"reggaeton,trap latino,urbano latino,latin","Sony Music Latin",0.732,0.781,11,-6.274,0,0.163,0.307,0.000161,0.263,0.595,120.072,4
spotify:track:5Awt99LSbIaTmWkoOFhP03,"IDEK WHAT 2 SAY","PLANET LADJI","Ladji Mouflet",2025-07-04,147692,44,false,ben.doan4366,2026-02-19T02:09:33Z,"","Ladji Mouflet",0.816,0.428,1,-9.474,1,0.0538,0.448,0.467,0.11,0.332,130.068,4
spotify:track:0Hjj1pT127BQozaZRgsjJ3,"There's No Love","There's No Love","Moon Boots",2015-07-30,309157,24,false,ben.doan4366,2026-03-01T06:13:01Z,"nu disco","Moon Boots",0.716,0.56,10,-8.068,0,0.0421,0.000262,0.786,0.148,0.745,121.014,4
