Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0FE8M3Cvhuz426f9EnIBBh,"Something So Feminine About A Mandolin","Havana Daydreamin'","Jimmy Buffett",1976-01-01,212866,28,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:53:46Z,"","Geffen*",0.445,0.188,4,-15.299,1,0.0285,0.79,0.00407,0.138,0.501,107.78,3
spotify:track:4UeuQKNDXKTVVmjk9quzJG,"Tonight I Just Need My Guitar","Far Side of the World","Jimmy Buffett",2002-03-19,171640,26,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:53:51Z,"","Mailboat Records",0.642,0.238,2,-15.281,1,0.0274,0.907,0.235,0.145,0.266,95.219,4
spotify:track:43KbMKOfeDmSY0J8pkzGPl,"A Pirate Looks at Forty - Live","Encores (Live)","Jimmy Buffett",2010-04-20,302080,19,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:53:57Z,"","Mailboat Records",0.644,0.368,7,-7.398,1,0.0288,0.882,0.0023,0.876,0.265,105.065,4
spotify:track:4Z0osYW0aCq44fS8iA3XZh,"False Echoes (Havana 1921)","Banana Wind","Jimmy Buffett",1996-01-01,955000,25,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:54:00Z,"","Geffen*",0.502,0.231,3,-14.689,1,0.0732,0.526,0,0.108,0.263,95.876,4
spotify:track:1Th6FeYQ809iFZUtcH06iE,"Stranded On A Sandbar","Volcano","Jimmy Buffett",1979-01-01,191466,28,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:54:04Z,"","Geffen*",0.419,0.282,0,-17.021,1,0.0343,0.109,0,0.0719,0.532,97.859,4
spotify:track:6Fakn1lZdoWfFQrX3otOLv,"Changing Channels","Off To See The Lizard","Jimmy Buffett;Elliot Scheiner",1989-01-01,211800,25,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:54:06Z,"","Geffen*",0.575,0.135,2,-19.967,1,0.0283,0.834,0.0000162,0.0991,0.376,107.868,4
spotify:track:1q1brUE0FX8tKSwNwjyb3Z,"Twelve Volt Man","One Particular Harbor","Jimmy Buffett",1983,240973,28,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:54:08Z,"","Geffen*",0.59,0.321,5,-16.946,1,0.0399,0.388,0,0.208,0.29,110.358,4
spotify:track:4HAYmqqpdsWFPYm5y6TPxW,"Smart Woman (In A Real Short Skirt)","Hot Water","Jimmy Buffett",1988-01-01,172333,23,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:54:14Z,"","Geffen*",0.735,0.275,7,-15.997,1,0.0397,0.424,0,0.094,0.657,142.881,3
spotify:track:30EnCVSpZPb3fPbBqVutgz,"Island","Coconut Telegraph","Jimmy Buffett",1981,239693,28,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:54:16Z,"","Geffen*",0.503,0.221,2,-16.637,1,0.0321,0.179,0,0.0771,0.459,137.764,4
spotify:track:6CwlNfV14oqfItmOGEO6r3,"Prince Of Tides","Hot Water","Jimmy Buffett",1988-01-01,334367,21,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:54:17Z,"","Geffen*",0.587,0.344,4,-15.6,1,0.0444,0.135,0,0.0692,0.587,126.518,4
spotify:track:7G9BVeh2Y884YWOYrIzXzj,"Gypsies In The Palace","Last Mango In Paris","Jimmy Buffett",1985-01-01,307226,27,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:54:20Z,"","Geffen*",0.573,0.404,7,-17.336,1,0.0609,0.205,0,0.26,0.909,174.591,4
spotify:track:5ZKPylaZ9jgoDKoYZqJ3RG,"Coconut Telegraph","Coconut Telegraph","Jimmy Buffett",1981,179666,41,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:54:22Z,"","Geffen*",0.591,0.591,4,-12.966,1,0.0605,0.21,0,0.156,0.936,157.047,4
spotify:track:7rOCVvKlBhDjnaXN5zwyH2,"Havana Daydreamin'","Havana Daydreamin'","Jimmy Buffett",1976-01-01,219706,49,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:54:25Z,"","Geffen*",0.632,0.363,9,-15.437,1,0.0334,0.729,0.00032,0.141,0.733,116.849,4
spotify:track:7eE5oo7V1Ld1LPLDCLbARW,"Knees Of My Heart","Riddles In The Sand","Jimmy Buffett",1984,163426,35,false,vyrvddd99x5ejdq4b7ikuzgst,2023-12-29T17:54:27Z,"","Geffen*",0.787,0.393,11,-16.355,1,0.0366,0.183,0.0000487,0.0409,0.96,91.249,4
